,Antonyms,Term,Synonyms
1315,[''],spintronic,['']
1316,"['exteriority', 'outside', 'exterior']",metropolis,"['capital', 'downtown', 'municipality', 'metropolis', 'city', 'club', 'heart', 'hub', 'mall', 'market', 'plaza', 'station', 'town', 'center', 'place', 'port']"
1317,"['abridgment', 'compression', 'decrease', 'reduction', 'shrinkage', 'failure', 'decline', 'lessening', 'stagnation', 'loss', 'diminishment', 'worsening', 'harm', 'withdrawal']",expansion,"['development', 'enlargement', 'extension', 'increase', 'inflation', 'spread', 'bonus', 'boost', 'enhancement', 'expansion', 'supplement', 'elaboration', 'advance', 'gain', 'growth', 'improvement', 'jump', 'rush', 'spurt', 'upsurge', 'upturn', 'addition', 'breakthrough', 'hike', 'increment', 'lift', 'rise', 'upgrade']"
1318,"['divide', 'contract', 'shrink', 'reduce', 'diminish', 'lower', 'drop', 'stop', 'halt', 'discourage', 'hurt', 'recede', 'shorten', 'condense', 'abridge', 'raze', 'destroy', 'demolish', 'compress', 'repress', 'prevent', 'curtail', 'cease', 'lessen', 'undermine', 'slow', 'hinder', 'decelerate', 'decrease', 'weaken', 'restrict', 'narrow']",triple,"['threefold', 'advance', 'boost', 'broaden', 'build', 'deepen', 'develop', 'double', 'enhance', 'enlarge', 'escalate', 'expand', 'extend', 'further', 'heighten', 'intensify', 'multiply', 'raise', 'reinforce', 'rise', 'strengthen', 'swell', 'triple', 'widen', 'proliferate']"
1319,[''],carlo,['']
1320,"['free', 'unfasten', 'liberate', 'remove', 'separate', 'forget', 'disconnect', 'unwrap', 'uncover']",chain,"['conglomerate', 'group', 'string', 'bracelet', 'cable', 'attach', 'shackle', 'handcuff', 'enslave', 'tether', 'confine', 'line', 'ring', 'tape', 'connect', 'cover', 'dress', 'restrict', 'stick', 'strap', 'unite', 'wrap', 'consortium', 'corporation', 'monopoly', 'syndicate']"
1321,[''],mpf,['']
1322,[''],monte,['']
1323,[''],carbyne,['']
1324,"['misunderstanding', 'disagreement', 'rejection', 'refusal']",bond,"['obligation', 'relationship', 'debenture', 'certificate', 'transaction', 'security', 'warrant', 'bind', 'fix', 'glue', 'connect', 'approval', 'arrangement', 'charter', 'compromise', 'covenant', 'deal', 'lease', 'negotiation', 'pact', 'protocol', 'settlement', 'understanding', 'union']"
1325,[''],dec,['']
1326,[''],oligomers,['']
1327,[''],phenanthrene,['']
1328,[''],naphthalene,['']
1329,[''],coronene,['']
1330,[''],oligomerization,['']
1331,[''],acenaphthene,['']
1332,"['open', 'reveal', 'disrobe', 'uncover']",mantle,"['veil', 'camouflage', 'mantle', 'mask', 'shawl', 'veneer', 'attire', 'cloak', 'disguise', 'drape', 'dress', 'equip', 'fit', 'swaddle', 'swathe', 'blanket', 'bury', 'coat', 'enclose', 'protect', 'shroud']"
1333,[''],litasov,['']
1334,"['sky', 'purity', 'cleanliness']",earth,"['globe', 'planet', 'land', 'dirt', 'terrain', 'shore', 'surface', 'coast', 'mud', 'clay', 'dust', 'turf', 'gravel', 'sand', 'brick', 'earth', 'grime', 'lint', 'powder', 'soil', 'soot', 'hideaway']"
1335,[''],pyrene,['']
1336,[''],tade,['']
1337,[''],chen,['']
1338,[''],phosphide,['']
1339,[''],fenton,['']
1340,"['moderate', 'peaceful', 'secondary', 'minor', 'auxiliary', 'nonessential', 'insignificant', 'unnecessary', 'unimportant', 'inessential']",radical,"['profound', 'revolutionary', 'militant', 'fanatical', 'progressive', 'uncompromising', 'far-out', 'extremist', 'violent', 'sweeping', 'leftist', 'renegade', 'fanatic', 'firebrand', 'insurgent', 'agitator', 'rebel', 'subversive', 'anarchist', 'reformer', 'rioter', 'leading', 'demagogue', 'malcontent', 'propagandist', 'radical', 'reactionary', 'troublemaker', 'zealot', 'elemental', 'essential', 'key', 'main', 'necessary', 'primary', 'primitive', 'underlying', 'vital']"
1341,[''],rhe,['']
1342,[''],catalytic,['']
1343,"['acceptance', 'approval', 'compliment', 'exculpation', 'flattery', 'praise']",cc,"['accusation', 'charge', 'criticism', 'grievance', 'gripe', 'objection', 'protest', 'trouble']"
1344,[''],degradation,"['degeneration', 'deterioration', 'atrocity', 'degradation', 'evil']"
1345,[''],peroxymonosulfate,['']
1346,[''],pms,['']
1347,[''],ppy,['']
1348,[''],nc,['']
1349,[''],thermodynamic,['']
1350,[''],eos,['']
1351,"['ignorance', 'unimportance', 'part', 'whole']",calibration,"['amount', 'analysis', 'appraisal', 'assessment', 'density', 'dimension', 'evaluation', 'frequency', 'height', 'measure', 'size', 'survey', 'weight', 'ratio', 'proportion', 'rate', 'system', 'range', 'extent', 'scope', 'adjustment', 'nuance', 'calibration']"
1352,[''],pole,"['beam', 'flagpole', 'leg', 'mast', 'rod', 'stick', 'girder', 'joist', 'piling', 'pillar', 'plank', 'pole', 'scaffolding', 'shaft', 'sill', 'timber']"
1353,[''],pineau,['']
1354,[''],zta,['']
1355,[''],zhugin,['']
1356,"['assurance', 'belief', 'calmness', 'certainty', 'clarity', 'composure', 'confidence', 'contentment', 'faith', 'happiness', 'peace', 'trust', 'sureness', 'blessing', 'security', 'ease', 'advantage', 'joy', 'collectedness', 'calm']",uncertainty,"['ambiguity', 'ambivalence', 'anxiety', 'concern', 'confusion', 'distrust', 'mistrust', 'skepticism', 'suspicion', 'trouble', 'uneasiness', 'unpredictability', 'worry', 'doubt', 'uncertainty', 'vagueness', 'hesitancy', 'hesitation', 'indecision', 'angst', 'apprehension', 'disquiet', 'dread', 'jitters', 'misery', 'misgiving', 'nervousness', 'panic', 'restlessness', 'suffering', 'suspense', 'unease', 'betting', 'chance', 'odds', 'pledge', 'risk', 'speculation', 'stake', 'venture', 'wager']"
1357,[''],experimental,"['empirical', 'preliminary', 'unproved', 'experimental', 'factual', 'observational']"
1358,[''],parametric,['']
1359,"['happy', 'unworried', 'calm', 'unafraid', 'brave', 'aware']",shocked,"['aghast', 'amazed', 'appalled', 'astonished', 'dismayed', 'offended', 'stunned', 'frightened', 'anxious', 'apprehensive', 'nervous', 'scared', 'shocked', 'suspicious', 'timid', 'agog', 'awestruck', 'awed', 'baffled', 'befuddled', 'dazed', 'mystified', 'perplexed', 'puzzled', 'rattled', 'startled', 'surprised']"
1360,[''],eoss,['']
1361,"['fact', 'trivia', 'auxiliary', 'reality']",data,"['dossier', 'evidence', 'goods', 'info', 'input', 'knowledge', 'picture', 'statistics', 'testimony', 'assumption', 'base', 'essential', 'explanation', 'footing', 'fundamental', 'justification', 'premise', 'principle', 'proof', 'reason', 'security', 'support', 'theory', 'breakthrough', 'conclusion', 'data', 'design', 'finding', 'innovation', 'method', 'result']"
1362,[''],erskine,['']
1363,[''],atj,['']
1364,[''],khishchenko,['']
1365,[''],hugoniot,['']
1366,[''],bayesian,['']
1367,[''],charakhchyan,['']
1368,"['calm', 'calmness', 'composure', 'help', 'order', 'peace', 'tranquility', 'expect', 'encourage', 'please', 'compose', 'compliment', 'comfort', 'placate', 'soothe', 'quiet', 'delight', 'appease', 'bore', 'explain', 'expectation', 'inspirit', 'assure', 'gladden', 'assist', 'hearten']",shock,"['awe', 'bump', 'collapse', 'confusion', 'consternation', 'disturbance', 'earthquake', 'excitement', 'impact', 'injury', 'jolt', 'scare', 'trauma', 'unsettle', 'displease', 'overwhelm', 'jar', 'astound', 'agitate', 'anger', 'shake', 'horrify', 'paralyze', 'traumatize', 'appall', 'insult', 'startle', 'disgust', 'outrage', 'flabbergast', 'dismay', 'disturb', 'stun', 'sicken', 'rock', 'offend', 'affect', 'alarm', 'astonish', 'bewilder', 'daze', 'dumbfound', 'impress', 'perplex', 'shock', 'stagger', 'admiration', 'astonishment', 'bewilderment', 'perplexity', 'wonderment', 'amaze', 'appal', 'daunt', 'disconcert', 'dishearten', 'faze', 'frighten', 'intimidate', 'petrify', 'terrify', 'unnerve']"
1369,"['straighten', 'untwist']",rotating,"['pivot', 'revolve', 'spin', 'swivel', 'twirl', 'twist', 'whirl', 'switch', 'consecutive', 'ensuing', 'subsequent', 'succeeding']"
1370,[''],manually,['']
1371,"['even', 'smooth', 'decided', 'prejudiced', 'involved', 'concerned', 'interested', 'biased', 'partial', 'subjective', 'caring', 'active', 'working']",unaligned,"['asymmetrical', 'craggy', 'elliptical', 'jagged', 'lumpy', 'unbalanced', 'disinterested', 'evenhanded', 'fair-minded', 'uninvolved', 'unbiased', 'uncommitted', 'inactive', 'undecided', 'nonaligned', 'indifferent', 'nonpartisan', 'impartial', 'dispassionate', 'inert', 'unconcerned']"
1372,"['agree', 'concur']",scraped,"['rub', 'shave', 'clean', 'grind', 'pinch', 'scrape', 'disagree', 'quarrel', 'quibble', 'spar', 'squabble', 'wrangle', 'caress', 'flick', 'kiss', 'skim', 'smooth', 'sweep']"
1373,"['hatred', 'hate', 'dislike']",direction,"['control', 'guidance', 'leadership', 'order', 'outlook', 'angle', 'orientation', 'area', 'trend', 'aspect', 'way', 'objective', 'path', 'line', 'home', 'location', 'number', 'agency', 'authority', 'government', 'legislation', 'organization', 'policy', 'rule', 'ambition', 'aspiration', 'desire', 'direction', 'intent', 'intention', 'plan', 'purpose', 'target', 'wish', 'perspective', 'slant', 'standpoint', 'viewpoint']"
1374,"['build', 'help', 'fix', 'grow', 'clean', 'create', 'assist', 'aid', 'start', 'begin', 'keep', 'ignore']",scratch,"['blemish', 'laceration', 'scrape', 'rub', 'graze', 'scrawl', 'claw', 'etch', 'scribble', 'pull', 'withdraw', 'delete', 'blight', 'bruise', 'harm', 'impair', 'ruin', 'scar', 'spoil', 'stain', 'sully', 'taint', 'tarnish', 'wreck', 'halt', 'interrupt', 'nullify', 'scrap', 'scrub', 'terminate', 'address', 'commit', 'devote', 'give', 'study', 'try']"
1375,"['cause', 'source', 'confuse', 'hide', 'conceal', 'ignore', 'hatred', 'hate', 'dislike']",mark,"['impression', 'imprint', 'line', 'point', 'record', 'scar', 'score', 'signature', 'spot', 'stain', 'stamp', 'streak', 'symbol', 'marking', 'level', 'result', 'value', 'effect', 'impress', 'seal', 'signify', 'show', 'feature', 'indicate', 'identify', 'demonstrate', 'illustrate', 'observe', 'attend', 'register', 'forward', 'send', 'ambition', 'aspiration', 'desire', 'direction', 'intent', 'intention', 'objective', 'plan', 'purpose', 'target', 'wish']"
1376,['disorganize'],aligned,"['adjust', 'coordinate', 'regulate', 'cooperate', 'agree', 'associate', 'matched']"
1377,[''],nickel,['']
1378,[''],scraper,['']
1379,[''],scraping,"['clean', 'grind', 'rub', 'shave', 'pinch', 'flattering', 'agitation', 'erosion', 'irritation', 'resistance']"
1380,"['cause', 'source', 'confuse', 'hide', 'conceal', 'ignore']",marks,"['impression', 'imprint', 'line', 'point', 'record', 'scar', 'score', 'signature', 'spot', 'stain', 'stamp', 'streak', 'symbol', 'marking', 'level', 'result', 'value', 'effect', 'impress', 'seal', 'signify', 'show', 'feature', 'indicate', 'identify', 'demonstrate', 'illustrate', 'observe', 'attend', 'register', 'aisle', 'pathway', 'road', 'route', 'stream', 'train']"
1381,[''],grecov,['']
1382,"['obscurity', 'oppose', 'reject', 'disapprove', 'repudiate', 'refuse', 'deny', 'wonder', 'question', 'spend', 'leave', 'depart', 'pass', 'neglect', 'miss', 'abandon', 'lose', 'fail', 'stop', 'halt', 'start', 'begin', 'ignore', 'destroy', 'forfeit', 'unsettle', 'commence']",sign,"['clue', 'flag', 'gesture', 'harbinger', 'hint', 'light', 'manifestation', 'note', 'prediction', 'proof', 'signal', 'suggestion', 'symbol', 'symptom', 'trace', 'warning', 'wave', 'notice', 'emblem', 'placard', 'logo', 'type', 'endorse', 'confirm', 'ink', 'express', 'acknowledge', 'admit', 'adopt', 'affirm', 'approve', 'assume', 'buy', 'comply', 'recognize', 'sign', 'undertake', 'accomplish', 'attain', 'complete', 'conclude', 'do', 'earn', 'enact', 'end', 'gain', 'manage', 'obtain', 'produce', 'reach', 'realize', 'resolve', 'settle', 'solve', 'win']"
1383,[''],mesophases,['']
1384,[''],farhoudi,['']
1385,[''],viscoelastic,['']
1386,[''],discotic,['']
1387,[''],elasticity,"['adaptability', 'flexibility', 'resilience', 'rebound', 'elasticity', 'firmness', 'texture']"
1388,[''],landau,['']
1389,"['disbelief', 'fact', 'information', 'reality', 'truth', 'proof', 'knowledge', 'measurement', 'trivia', 'auxiliary', 'unbelief', 'skepticism', 'doubt', 'concrete']",theory,"['approach', 'argument', 'assumption', 'code', 'concept', 'doctrine', 'idea', 'ideology', 'method', 'philosophy', 'plan', 'position', 'premise', 'proposal', 'provision', 'rationale', 'scheme', 'speculation', 'suspicion', 'system', 'thesis', 'understanding', 'acceptance', 'belief', 'expectation', 'guess', 'hunch', 'hypothesis', 'inference', 'presumption', 'supposition', 'theory', 'base', 'essential', 'evidence', 'explanation', 'footing', 'fundamental', 'justification', 'principle', 'proof', 'reason', 'security', 'support', 'creed', 'faith', 'law', 'opinion', 'tenet', 'conception', 'image', 'notion', 'perception', 'thought', 'view']"
1390,"['employee', 'follower', 'worker', 'student', 'pupil']",director,"['administrator', 'chief', 'executive', 'head', 'leader', 'organizer', 'player', 'principal', 'producer', 'supervisor', 'authority', 'bureaucrat', 'commander', 'controller', 'custodian', 'dean', 'director', 'inspector', 'judge', 'manager', 'minister', 'officer', 'official', 'superintendent', 'adviser', 'aide', 'confidant', 'consultant', 'counselor', 'doctor', 'expert', 'instructor', 'lawyer', 'mentor', 'tutor']"
1391,[''],gennes,['']
1392,[''],rheology,['']
1393,[''],rey,['']
1394,[''],nematic,['']
1395,"['disorganize', 'disorganization']",aligning,"['adjust', 'coordinate', 'regulate', 'cooperate', 'agree', 'associate', 'form', 'line', 'plan', 'procedure', 'regulation', 'rule', 'structure', 'system']"
1396,"['stop', 'halt', 'cease', 'fail', 'decline', 'languish', 'spend', 'dissipate', 'disperse']",flow,"['discharge', 'flood', 'leakage', 'movement', 'outflow', 'progress', 'stream', 'tide', 'wind', 'ebb', 'tumble', 'sweep', 'glide', 'leak', 'splash', 'percolate', 'swirl', 'circulate', 'swell', 'overflow', 'proceed', 'rush', 'spill', 'pour', 'cascade', 'slide', 'continue', 'gush', 'trickle', 'flourish', 'proliferate', 'thrive', 'accumulate', 'amass']"
1397,[''],viscosity,"['firmness', 'flexibility', 'texture']"
1398,[''],rheological,['']
1399,[''],er,['emergency']
1400,"['help', 'peace', 'ease', 'relief', 'health', 'happiness', 'calmness']",stress,"['weight', 'nervousness', 'tension', 'anxiety', 'hardship', 'crunch', 'agony', 'intensity', 'strain', 'heat', 'trauma', 'burden', 'hassle', 'fear', 'worry', 'repeat', 'underline', 'emphasize', 'highlight', 'underscore']"
1401,[''],ericksen,['']
1402,[''],dnlcs,['']
1403,[''],tensor,['']
1404,[''],ripalda,['']
1405,[''],bonding,"['bind', 'connect', 'fix', 'glue']"
1406,[''],substitutional,['']
1407,[''],krasheninnikov,['']
1408,['fullness'],vacancy,"['gap', 'job', 'vacuum', 'void', 'desolation']"
1409,[''],pyridine,['']
1410,[''],nordlund,['']
1411,['ambiguity'],implantation,"['disinformation', 'indoctrination', 'publicity', 'propagation', 'breeding', 'procreation', 'pollination', 'concept', 'belief', 'creed', 'attitude', 'rule', 'tenet', 'precept', 'dogma', 'regulation', 'proposition', 'statement', 'teaching', 'axiom', 'tradition', 'implantation']"
1412,[''],ro,['']
1413,"['clumsy', 'dark', 'dull', 'foolish', 'honest', 'ignorant', 'lazy', 'light', 'naive', 'normal', 'slow', 'stupid', 'typical', 'unaware', 'unclever', 'unintelligent', 'quiet', 'idle', 'inactive', 'sluggish', 'weak', 'idiotic', 'unable', 'incompetent', 'ineffective', 'incapable', 'impotent', 'moderate', 'mild', 'calm', 'blunt', 'forthright']",smart,"['agile', 'astute', 'bold', 'brainy', 'bright', 'brilliant', 'canny', 'crafty', 'good', 'nimble', 'quick', 'resourceful', 'sharp', 'shrewd', 'wise', 'active', 'energetic', 'throb', 'ache', 'capable', 'effective', 'efficient', 'intelligent', 'keen', 'prepared', 'responsible', 'skilled', 'smart', 'intense', 'subtle']"
1414,[''],zimmennann,['']
1415,"['ascent', 'enlargement', 'increase', 'rise', 'win', 'success', 'achievement', 'accomplishment', 'raise', 'lose', 'extend', 'expand', 'develop', 'praise', 'compliment', 'grow', 'enlarge', 'ascend', 'arrive', 'appear', 'face', 'freedom', 'release']",fall,"['decline', 'decrease', 'dip', 'drop', 'plunge', 'recession', 'reduction', 'slump', 'spill', 'loss', 'disaster', 'downfall', 'failure', 'collapse', 'crash', 'tumble', 'dwindle', 'ease', 'stumble', 'settle', 'plummet', 'sink', 'slip', 'diminish', 'dive', 'depreciate', 'land', 'die', 'become', 'occur', 'disappear', 'duck', 'fall', 'jump', 'leap', 'lunge', 'nose-dive', 'swoop', 'vanish', 'vault', 'capture', 'detention', 'imprisonment', 'incarceration', 'jailing', 'ensue', 'materialize', 'transpire']"
1416,[''],radial,"['circling', 'coiled']"
1417,[''],hirschvogel,['']
1418,"['advantage', 'benefit', 'blessing', 'building', 'cleanliness', 'construction', 'creation', 'favor', 'good', 'happiness', 'health', 'improvement', 'purification', 'repair', 'build', 'cure', 'allow', 'strengthen', 'help', 'fix', 'wait', 'create', 'heal', 'purify', 'clean', 'mend', 'assist', 'aid', 'please', 'protect', 'improve', 'kindness', 'pleasure', 'obedience']",damage,"['accident', 'blow', 'bruise', 'casualty', 'catastrophe', 'contamination', 'corruption', 'destruction', 'deterioration', 'devastation', 'disturbance', 'hardship', 'harm', 'illness', 'impairment', 'pollution', 'suffering', 'wound', 'pollute', 'impair', 'cripple', 'weaken', 'injure', 'tarnish', 'ruin', 'ravage', 'contaminate', 'maim', 'mar', 'infect', 'burn', 'hurt', 'break', 'batter', 'undermine', 'smash', 'tear', 'wreck', 'mangle', 'scorch', 'corrupt', 'maltreat', 'mistreat', 'misuse', 'molest', 'persecute', 'victimize', 'violate', 'crime', 'damage', 'injury', 'maltreatment', 'misdeed', 'offense', 'violation', 'wrongdoing', 'budget', 'cost', 'expense', 'extent', 'lot', 'outlay', 'output', 'product', 'sum']"
1419,"['discourage', 'please', 'help', 'inspirit', 'encourage', 'assure', 'embolden', 'comfort', 'soothe', 'reassure', 'calm', 'incite', 'release', 'hearten', 'clarify', 'explain', 'enlighten', 'expect', 'bore', 'explicate', 'assist', 'aid', 'facilitate', 'appease', 'strengthen', 'settle', 'placate', 'boost', 'relieve', 'delight', 'alleviate', 'gladden', 'support', 'protect', 'forward', 'allow', 'give']",buffalo,"['thrill', 'faze', 'excite', 'affect', 'awe', 'sway', 'inspire', 'dismay', 'dishearten', 'constrain', 'bully', 'subdue', 'alarm', 'appall', 'coerce', 'daunt', 'scare', 'terrify', 'terrorize', 'confound', 'stump', 'perplex', 'puzzle', 'baffle', 'deceive', 'mystify', 'dumbfound', 'bewilder', 'disconcert', 'astound', 'astonish', 'daze', 'fluster', 'complicate', 'perturb', 'befuddle', 'encumber', 'surprise', 'nonplus', 'disturb', 'flummox', 'rattle', 'bemuse', 'distract', 'frustrate', 'amaze', 'flabbergast', 'elude', 'confuse', 'embarrass', 'stun', 'discourage', 'unsettle', 'dispirit', 'frighten', 'undermine', 'agitate', 'shake', 'demoralize', 'weaken', 'torture', 'hector', 'bludgeon', 'harass', 'torment', 'persecute', 'threaten', 'oppress', 'browbeat', 'unnerve', 'strong-arm', 'fool', 'trick', 'victimize', 'cheat', 'swindle', 'dupe', 'betray', 'disappoint', 'entrap', 'hoodwink', 'circumvent', 'falsify', 'defraud', 'delude', 'discombobulate', 'hinder', 'prevent', 'thwart', 'counter', 'nullify', 'curb', 'mislead', 'bilk']"
1420,[''],electromechanical,['']
1421,"['erase', 'forget']",intercalated,"['embed', 'enter', 'imbed', 'implant', 'include', 'inject', 'introduce', 'stick', 'import', 'ship', 'send', 'infringe', 'invade', 'encroach', 'meddle', 'interfere', 'admit']"
1422,[''],bodies,"['carcass', 'frame', 'torso', 'remains', 'party', 'individual', 'soul', 'person', 'box', 'material', 'skeleton', 'society', 'group', 'heart', 'community', 'crowd', 'family', 'folk', 'nation', 'population', 'public', 'audience', 'country', 'electorate', 'everyone', 'people', 'populace']"
1423,"['concrete', 'discouragement', 'dislike', 'hate', 'hatred', 'thing', 'block', 'deterrent', 'hindrance']",actuation,"['desire', 'feeling', 'inclination', 'influence', 'instinct', 'motivation', 'motive', 'notion', 'passion', 'thought', 'whim', 'wish', 'impetus', 'interest', 'incentive', 'reason', 'encouragement', 'impulse', 'catalyst']"
1424,[''],bsus,['']
1425,[''],salib,['']
1426,[''],nanometric,['']
1427,[''],concentric,['']
1428,[''],optomechanical,['']
1429,"['good', 'hopeful', 'happy', 'joyful', 'cheerful', 'unmethodical', 'disorderly', 'soft', 'pliant', 'yielding', 'flexible', 'unsystematic', 'pliable']",irreversible,"['inevitable', 'permanent', 'desperate', 'forlorn', 'helpless', 'impossible', 'pointless', 'sad', 'tragic', 'useless', 'irreplaceable', 'irreversible', 'immutable', 'homogeneous', 'inflexible', 'orderly', 'reliable', 'rigid', 'systematic']"
1430,['lot'],textures,"['balance', 'character', 'composition', 'consistency', 'fabric', 'feeling', 'makeup', 'nature', 'pattern', 'quality', 'sense', 'smoothness', 'structure', 'surface', 'taste', 'touch']"
1431,"['disagreeable', 'unfriendly', 'hateful', 'poor', 'dry', 'rough']",oily,"['buttery', 'creamy', 'oiled', 'slippery', 'waxy', 'slick', 'amiable', 'pleasant', 'creamed', 'fluffy', 'gooey', 'greasy', 'luscious', 'lush', 'milky', 'oily', 'rich', 'soft', 'velvety']"
1432,[''],desorption,['']
1433,"['biased', 'concerned', 'decided', 'interested', 'involved', 'prejudiced', 'wild', 'troubled', 'uncontrolled', 'violent', 'unreasonable', 'unfriendly', 'excited', 'agitated', 'excessive', 'immoderate', 'upset', 'nervous', 'bright']",neutral,"['disinterested', 'evenhanded', 'fair-minded', 'inactive', 'indifferent', 'nonaligned', 'nonpartisan', 'unbiased', 'uncommitted', 'undecided', 'uninvolved', 'vague', 'camel', 'cream', 'khaki', 'off-white', 'tan', 'taupe', 'aloof', 'amiable', 'amicable', 'gentle', 'impassive', 'levelheaded', 'moderate', 'placid', 'relaxed', 'sedate', 'serene', 'temperate', 'unflappable', 'drab', 'dull']"
1434,[''],adsorb,['']
1435,"['ignore', 'dehydrate', 'dry', 'dirty']",sponge,"['parasite', 'clean', 'dip', 'douse', 'immerse', 'rinse', 'scour', 'scrub', 'soak', 'steep', 'submerge', 'wet', 'hustle', 'scrounge']"
1436,[''],protonation,['']
1437,[''],atms,['ATM']
1438,"['ignorant', 'impassive', 'indifferent', 'insensitive', 'merciless', 'senseless', 'unaware', 'unconscious', 'unfeeling', 'unfriendly', 'unsusceptible', 'disagreeable', 'unsympathetic', 'mean', 'bad', 'nasty', 'sad', 'unhappy', 'cold', 'unkind', 'hateful', 'repulsive', 'unsociable', 'unpleasant', 'hostile', 'aloof', 'unenthusiastic', 'unreceptive', 'unmindful', 'cool', 'uninformed', 'unresponsive', 'inattentive', 'selfish', 'antagonistic']",responsive,"['active', 'aware', 'compassionate', 'conscious', 'reactive', 'receptive', 'sensible', 'sensitive', 'susceptible', 'sympathetic', 'congenial', 'consenting', 'favorable', 'agreeable', 'responsive', 'affable', 'amicable', 'charming', 'cheerful', 'cordial', 'delightful', 'engaging', 'friendly', 'genial', 'good-humored', 'good-natured', 'gracious', 'lovable', 'mellow', 'pleasant', 'sociable', 'admiring', 'affectionate', 'cognizant', 'considerate', 'enthusiastic', 'generous', 'keen', 'knowledgeable', 'mindful', 'perceptive', 'pleased', 'respectful', 'supportive']"
1439,"['disenchant', 'repulse']",oils,"['coat', 'grease', 'margarine', 'oil', 'shortening', 'deceive', 'delude', 'dupe', 'entice', 'entrap', 'seduce', 'tantalize', 'tempt', 'wheedle']"
1440,[''],bromoisobutyryl,['']
1441,[''],wettability,['']
1442,[''],switchable,['adaptable']
1443,"['destruction', 'loss', 'injury', 'retrogression', 'retreat', 'failure', 'stop', 'decline', 'diminishment', 'deterioration', 'stagnation', 'halt', 'stoppage', 'decrease']",recovery,"['improvement', 'readjustment', 'reconstruction', 'rehabilitation', 'restoration', 'resumption', 'return', 'resurgence', 'recuperation', 'revival', 'renewal', 'healing', 'comeback', 'rescue', 'rebound', 'upturn', 'gain', 'addition', 'procurement', 'purchase', 'recovery', 'antidote', 'drug', 'elixir', 'fix', 'medication', 'medicine', 'panacea', 'placebo', 'remedy', 'treatment', 'advance', 'advancement', 'change', 'development', 'enhancement', 'growth', 'increase', 'progress', 'renovation', 'revision', 'rise', 'upgrade']"
1444,[''],ph,['']
1445,"['disenchant', 'repulse']",oil,"['coat', 'grease', 'margarine', 'oil', 'shortening', 'deceive', 'delude', 'dupe', 'entice', 'entrap', 'seduce', 'tantalize', 'tempt', 'wheedle']"
1446,"['impotence', 'inability', 'incapacity', 'incompetence', 'lack', 'weakness', 'laziness', 'inactivity', 'lethargy', 'disadvantage', 'question', 'inaction', 'idleness', 'waste', 'subservience', 'block', 'disfavor', 'injury', 'hurt', 'harm', 'disapproval', 'loss', 'inferiority']",power,"['capability', 'capacity', 'function', 'influence', 'potential', 'skill', 'talent', 'strength', 'force', 'weight', 'energy', 'intensity', 'right', 'rule', 'jurisdiction', 'clout', 'leadership', 'authority', 'privilege', 'management', 'sovereignty', 'prestige', 'law', 'activity', 'deal', 'life', 'movement', 'operation', 'plan', 'process', 'reaction', 'response', 'agency', 'control', 'government', 'legislation', 'organization', 'policy', 'asset', 'choice', 'convenience', 'dominance', 'edge', 'favor', 'gain', 'improvement', 'interest', 'lead', 'leverage', 'position', 'power', 'preference', 'profit', 'protection', 'recognition', 'return', 'superiority', 'support', 'wealth']"
1447,[''],golovin,['']
1448,[''],plasma,"['juice', 'beef', 'muscle', 'meat', 'fat']"
1449,[''],tools,"['apparatus', 'appliance', 'device', 'engine', 'gadget', 'gizmo', 'machine', 'means', 'mechanism', 'utensil', 'weapon', 'medium', 'accessory', 'gear', 'machinery', 'furnishings', 'furniture', 'material', 'harness', 'instrument', 'kit', 'luggage', 'paraphernalia', 'stuff', 'supply', 'bag', 'container']"
1450,"['fruitless', 'idle', 'impotent', 'inactive', 'incapable', 'ineffective', 'lethargic', 'lifeless', 'unproductive', 'weak', 'calm', 'afraid', 'dull', 'unenthusiastic', 'slow', 'quiet', 'uneducated', 'cowardly', 'irresolute', 'dispirited', 'disinterested', 'apathetic', 'stupid', 'ignorant', 'indifferent', 'sluggish', 'lazy', 'meek', 'shy', 'timid', 'tired']",dynamic,"['aggressive', 'changing', 'charismatic', 'compelling', 'effective', 'energetic', 'forceful', 'influential', 'lively', 'potent', 'powerful', 'productive', 'progressive', 'vigorous', 'alive', 'bold', 'busy', 'determined', 'diligent', 'dynamic', 'eager', 'engaged', 'enthusiastic', 'intense', 'keen', 'quick', 'ready', 'resolute', 'tough', 'zealous', 'awake', 'rife', 'spirited', 'vivid', 'effervescent', 'perky']"
1451,"['concrete', 'discouragement', 'dislike', 'hate', 'hatred', 'thing', 'block', 'hindrance']",impulse,"['desire', 'feeling', 'inclination', 'influence', 'instinct', 'motivation', 'motive', 'notion', 'passion', 'thought', 'whim', 'wish', 'impetus', 'vibration', 'pulse', 'movement', 'spontaneity', 'incentive', 'stimulant', 'effort', 'initiative', 'momentum']"
1452,[''],hipims,['']
1453,['rush'],creep,"['glide', 'inch', 'lurk', 'slink', 'slither', 'sneak', 'tiptoe', 'wriggle', 'clamber', 'creep', 'drag', 'plod', 'poke', 'slide', 'squirm', 'crawl', 'shuffle']"
1454,[''],kouznetsov,['']
1455,[''],inclusions,"['admittance', 'formation', 'incorporation', 'involvement']"
